Pipeline Type,Cause Category,Unintentional Release (Barrels)
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.71
TANK,INCORRECT OPERATION,1
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,2
UNDERGROUND,CORROSION,5.75
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,40
UNDERGROUND,CORROSION,2
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.53
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,9
TANK,NATURAL FORCE DAMAGE,125
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,3
TANK,MATERIAL/WELD/EQUIP FAILURE,13
TANK,MATERIAL/WELD/EQUIP FAILURE,70
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1
TANK,MATERIAL/WELD/EQUIP FAILURE,0.38
UNDERGROUND,CORROSION,4.1
TRANSITION AREA,CORROSION,1
UNDERGROUND,CORROSION,0.12
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,10
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.11
UNDERGROUND,CORROSION,4
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,4.5
TANK,INCORRECT OPERATION,2580
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,4.7
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1.31
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,10
UNDERGROUND,CORROSION,0.36
UNDERGROUND,EXCAVATION DAMAGE,1
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.83
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,2121
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,2
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,85
UNDERGROUND,CORROSION,1.29
UNDERGROUND,CORROSION,508
UNDERGROUND,EXCAVATION DAMAGE,1
UNDERGROUND,CORROSION,4618
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,11
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1.9
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,2
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.1
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,10.7
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,1
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,3
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,10.83
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,3
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.5
UNDERGROUND,CORROSION,0.36
UNDERGROUND,CORROSION,2.11
UNDERGROUND,OTHER OUTSIDE FORCE DAMAGE,800
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,6
TANK,ALL OTHER CAUSES,1
TANK,INCORRECT OPERATION,30
ABOVEGROUND,ALL OTHER CAUSES,0.19
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.14
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,2.38
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.24
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,4.47
ABOVEGROUND,CORROSION,2
UNDERGROUND,CORROSION,3
UNDERGROUND,CORROSION,184.14
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,2
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,10
,,
UNDERGROUND,CORROSION,1
UNDERGROUND,EXCAVATION DAMAGE,3104
UNDERGROUND,CORROSION,9
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,3.5
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1.5
UNDERGROUND,ALL OTHER CAUSES,7.52
UNDERGROUND,CORROSION,6
UNDERGROUND,CORROSION,0.48
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.36
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1.5
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,33.8
ABOVEGROUND,INCORRECT OPERATION,0.29
ABOVEGROUND,CORROSION,30
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,1.11
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.6
ABOVEGROUND,NATURAL FORCE DAMAGE,7
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.94
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,3.2
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.36
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,20082
TANK,MATERIAL/WELD/EQUIP FAILURE,10
UNDERGROUND,CORROSION,197
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,0.23
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.3
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,155
UNDERGROUND,CORROSION,20
ABOVEGROUND,CORROSION,3
UNDERGROUND,NATURAL FORCE DAMAGE,0.16
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.12
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.78
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,1
ABOVEGROUND,CORROSION,4.5
UNDERGROUND,EXCAVATION DAMAGE,320
ABOVEGROUND,ALL OTHER CAUSES,0.37
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,3
TANK,MATERIAL/WELD/EQUIP FAILURE,0.38
UNDERGROUND,MATERIAL/WELD/EQUIP FAILURE,3
UNDERGROUND,CORROSION,0.23
UNDERGROUND,CORROSION,920
UNDERGROUND,CORROSION,1
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,2
ABOVEGROUND,MATERIAL/WELD/EQUIP FAILURE,0.24
UNDERGROUND,CORROSION,0.6
