Accident Year,Accident State,Unintentional Release (Barrels)
2011,TX,5
2011,WY,30
2011,TX,1.7
2011,TX,1
2011,TX,0.71
2011,AK,308
2011,VA,8.62
2011,TX,0.02
2011,OK,406
2011,TX,0.14
2011,TX,5
2011,OK,2
2011,OK,0.95
2011,MD,0.4
2011,NJ,0.95
2011,IL,0.2
2011,MS,1
2011,NJ,0.52
2011,IN,544
2011,OK,1250
2011,TX,20
2011,LA,1.74
2011,TX,23
2011,LA,79
2011,TX,6911
2011,PR,66
2011,MO,0.24
2011,TX,5.6
2011,PA,0.02
2011,AR,4
2011,OK,0.36
2011,OK,9
2011,IN,1.2
2011,MN,0.12
2011,TX,1000
2011,IL,88.1
2011,NJ,47
2011,TX,0.24
2011,PA,38
2011,TX,288.5
2011,TX,0
2011,TX,40
2011,TX,0.5
2011,NM,2530
2011,TX,40
2011,TX,4
2011,WY,3.99
2011,OK,78
2011,TX,2.4
2011,KS,400
2011,NJ,0.4
2011,NJ,7.14
2011,KS,0.24
2011,OK,50
2011,IA,0.24
2011,MT,0.16
2011,TX,0.74
2011,TX,1
2011,CO,0.95
2011,OK,600
2011,IL,0.6
2011,MT,3
2011,AL,4
2011,NJ,0.19
2011,TX,482
2011,LA,8.36
2011,ND,0.24
2011,OK,0.12
2011,KS,20
2011,OK,25
2011,TX,0.53
2011,VA,0.45
2011,MT,2
2011,WY,80
2011,OK,100
2011,MI,0.95
2011,CT,600
2011,NJ,23
2011,LA,0.24
2011,OK,1
2011,KS,15
2011,TX,2
2011,TX,1
2011,PA,300
2011,TX,4
2011,TX,12
2011,TX,40
2011,IL,0.5
2011,NC,0.29
2011,KY,10
2011,OK,4.5
2011,NE,0.55
2011,IL,0.15
2011,ID,228
2011,TX,1
2011,TX,115
2011,WI,0.29
2011,TX,4
2011,LA,5.23
2011,MD,0.19
2011,CA,0.6
2011,TX,0.24
2011,WI,11.9
2011,IN,0.48
2011,ND,0.76
2011,MI,9000
2011,OK,1.43
2011,TX,1
2011,TX,1
2011,KS,15
2011,KS,2
2011,CA,1
2011,CA,8.19
2011,TX,8
2011,TX,1
2011,TX,2
2011,TX,3
2011,WY,0.46
