Operator Name,Liquid Recovery (Barrels),Net Loss (Barrels)
"SHELL PIPELINE CO., L.P.",2.83,0.17
"KOCH PIPELINE COMPANY, L.P.",6,9
CONOCOPHILLIPS,0,0.24
PLANTATION PIPE LINE CO,0.28,0
ENTERPRISE PRODUCTS OPERATING LLC,27,0
PACIFIC PIPELINE SYSTEM LLC,1,0
KERN OIL & REFINING CO.,1.5,0.5
MOBIL PACIFIC PIPELINE CO,35,0
"MAGELLAN PIPELINE COMPANY, LP",131,0
ONEOK NGL PIPELINE LP,0,3.26
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,3.57,0
"SFPP, LP",0.35,0
COLONIAL PIPELINE CO,8.54,0
CONOCOPHILLIPS,0,0.7
MUSTANG PIPE LINE PARTNERS,0.14,0
EXXONMOBIL PIPELINE CO,0,1
MOBIL CORP,0,1
ENTERPRISE CRUDE PIPELINE LLC,2,3
"MAGELLAN PIPELINE COMPANY, LP",928.5,0
ENTERPRISE PRODUCTS OPERATING LLC,0,675
"BUCKEYE PARTNERS, LP",20,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.95,0
CRIMSON PIPELINE L.P.,0,2
ONEOK NGL PIPELINE LP,0,4.5
"BUCKEYE PARTNERS, LP",0.23,0
EXXONMOBIL PIPELINE CO,11.2,7.5
ENTERPRISE CRUDE PIPELINE LLC,200,50
EXXONMOBIL PIPELINE CO,20,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0,0.2
ENTERPRISE PRODUCTS OPERATING LLC,0,19.86
"SFPP, LP",24,14
"MAGELLAN PIPELINE COMPANY, LP",0,0.24
VALERO REFINING COMPANY - CALIFORNIA,5,0
ENTERPRISE CRUDE PIPELINE LLC,0,0.5
CONOCOPHILLIPS,0,56
MARATHON PIPE LINE LLC,0.2,0
SUNOCO PIPELINE L.P.,1,3
SUNOCO PIPELINE L.P.,0,2
ENTERPRISE PRODUCTS OPERATING LLC,0,1
"MAGELLAN PIPELINE COMPANY, LP",0.71,0
"PLAINS PIPELINE, L.P.",4,0
TIDELANDS OIL PRODUCTION COMPANY,0.48,0
CONOCOPHILLIPS,0.6,4.1
ENTERPRISE CRUDE PIPELINE LLC,440,120
CHEVRON PIPE LINE CO,0,12836
"KINDER MORGAN LIQUID TERMINALS, LLC",2,0
"SHELL PIPELINE CO., L.P.",0.19,0.05
ENTERPRISE PRODUCTS OPERATING LLC,0,0.17
CHEVRON PIPE LINE CO,0,0.09
ENTERPRISE PRODUCTS OPERATING LLC,0,500
CONOCOPHILLIPS,0.9,0.8
"KINDER MORGAN LIQUID TERMINALS, LLC",0,0.24
ENTERPRISE PRODUCTS OPERATING LLC,0,0.35
ENBRIDGE PIPELINES (OZARK) L.L.C.,2,0
OLYMPIC PIPE LINE COMPANY,0.29,0
MARATHON PIPE LINE LLC,96,0
"BUCKEYE PARTNERS, LP",22,1
"BUCKEYE PARTNERS, LP",271,324
CHEVRON MIDSTREAM PIPELINES LLC,0,3.43
ENTERPRISE PRODUCTS OPERATING LLC,0,80
ENTERPRISE CRUDE PIPELINE LLC,0,0.5
CONOCOPHILLIPS,0,0.48
ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,20,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",15,0
SUNOCO PIPELINE L.P.,78,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,2.62,0
BP PIPELINE (NORTH AMERICA) INC.,10,0
CONOCOPHILLIPS,0,10
MOBIL CORP,41,0
"KINDER MORGAN LIQUID TERMINALS, LLC",1,0
SUNOCO PIPELINE L.P.,0,0.5
SUNOCO PIPELINE L.P.,25,0
"MAGELLAN PIPELINE COMPANY, LP",300,290
MOTIVA ENTERPRISE LLC,0.16,0
ONEOK NGL PIPELINE LP,0,0.48
JAYHAWK PIPELINE LLC,14,3
CENTURION PIPELINE L.P.,2309,990
ENTERPRISE CRUDE PIPELINE LLC,10,200
"MAGELLAN PIPELINE COMPANY, LP",5.95,0
WEST TEXAS GULF PIPELINE CO,0,1
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",398,0
SUNOCO PIPELINE L.P.,0,0.12
"MAGELLAN PIPELINE COMPANY, LP",0.35,0
ENTERPRISE CRUDE PIPELINE LLC,0,3
COLONIAL PIPELINE CO,0.45,0
"PLAINS PIPELINE, L.P.",73,0
"MAGELLAN PIPELINE COMPANY, LP",0.48,0
"MAGELLAN PIPELINE COMPANY, LP",5,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.35
PLANTATION PIPE LINE CO,23,0
"OILTANKING PORT NECHES, LLC",0,4
"SHELL PIPELINE CO., L.P.",3,0
"BUCKEYE PARTNERS, LP",9.4,0.1
ENTERPRISE CRUDE PIPELINE LLC,3,3
ENTERPRISE CRUDE PIPELINE LLC,0,0.23
"KINDER MORGAN LIQUID TERMINALS, LLC",0.2,0.05
SUNOCO PIPELINE L.P.,0,0.48
"PLAINS PIPELINE, L.P.",80,0
KINDER MORGAN COCHIN LLC,0,5648
CONOCOPHILLIPS,0,45
CHEVRON PETROCHEMICAL PIPELINE LLC,0,0.23
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",10,0
CONOCOPHILLIPS,0.85,0.1
"MAGELLAN TERMINALS HOLDINGS, LP",0.47,0
ENTERPRISE CRUDE PIPELINE LLC,0,1.5
BELLE FOURCHE PIPELINE CO,120,80
"PLAINS PIPELINE, L.P.",90,0
BELLE FOURCHE PIPELINE CO,53,1905
TRANSMONTAIGNE OPERATING COMPANY L.P.,0,1330
ENTERPRISE CRUDE PIPELINE LLC,2490,0
ENTERPRISE CRUDE PIPELINE LLC,85,55
WEST SHORE PIPELINE CO,16.6,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.48,0
BP USFO/LOGISTICS,1.19,0
MARATHON PIPE LINE LLC,0.01,0
ENTERPRISE PRODUCTS OPERATING LLC,0,85
ENTERPRISE CRUDE PIPELINE LLC,100,0
"MAGELLAN PIPELINE COMPANY, LP",1855,0
SUNOCO PIPELINE L.P.,0,0.36
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",0,5
"SHELL PIPELINE CO., L.P.",0,0.02
"KINDER MORGAN LIQUID TERMINALS, LLC",0.12,0
"KINDER MORGAN LIQUID TERMINALS, LLC",10,0
COLONIAL PIPELINE CO,68,1
BELLE FOURCHE PIPELINE CO,650,150
ONEOK NGL PIPELINE LP,0,0.24
UNOCAL PIPELINE CO - EASTERN REGION,27,4
ENTERPRISE CRUDE PIPELINE LLC,0,1
"PLAINS PIPELINE, L.P.",0,0
ONEOK NGL PIPELINE LP,0,360
BELLE FOURCHE PIPELINE CO,470,530
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0,3.06
"MAGELLAN PIPELINE COMPANY, LP",58,592
"MAGELLAN PIPELINE COMPANY, LP",194,1990
SUNOCO PIPELINE L.P.,0,0.71
"KOCH PIPELINE COMPANY, L.P.",0.23,0
ST. JAMES OIL CORPORATION,0.5,0
COLONIAL PIPELINE CO,2,1.3
"MAGELLAN PIPELINE COMPANY, LP",150,100
DIXIE PIPELINE,0,22
ENTERPRISE CRUDE PIPELINE LLC,0,1
SUNOCO PIPELINE L.P.,0,2.5
"KOCH PIPELINE COMPANY, L.P.",0.83,0
"TOTAL PETROCHEMICALS PIPELINE USA , INC.",1,1
ENTERPRISE PRODUCTS OPERATING LLC,0,3283
ENTERPRISE PRODUCTS OPERATING LLC,0,0
ENTERPRISE PRODUCTS OPERATING LLC,0.2,0.03
SUNOCO PIPELINE L.P.,0,2
JAYHAWK PIPELINE LLC,100,50
ONEOK NGL PIPELINE LP,20,13.79
MARATHON PIPE LINE LLC,1.5,0
SUNOCO PIPELINE L.P.,0,117
ENTERPRISE CRUDE PIPELINE LLC,0,0.12
CONOCOPHILLIPS,0.5,0
SUNOCO PIPELINE L.P.,0,2
EXXONMOBIL OIL CORP - WEST COAST,0.84,0
ONEOK NGL PIPELINE LP,0,0.14
SUNOCO PIPELINE L.P.,728.5,1221.5
COLONIAL PIPELINE CO,0.31,0
ALYESKA PIPELINE SERVICE CO,3.26,0
CONOCOPHILLIPS,0,2
BP USFO/LOGISTICS,64,11
"KINDER MORGAN LIQUID TERMINALS, LLC",2,0
COLONIAL PIPELINE CO,300.5,23.3
"MAGELLAN PIPELINE COMPANY, LP",0,0.71
COLONIAL PIPELINE CO,0.95,0
ENBRIDGE STORAGE (PATOKA) L.L.C.,0.17,0
ONEOK NGL PIPELINE LP,5.95,5.95
"SHELL PIPELINE CO., L.P.",0.5,0
"BUCKEYE PARTNERS, LP",0.43,0.17
"LION OIL TRADING & TRANSPORTATION, INC",59,1
"KOCH PIPELINE COMPANY, L.P.",0,1.52
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",0,0.36
SINCLAIR TRANSPORTATION COMPANY,245,195
"MAGELLAN PIPELINE COMPANY, LP",242,20
WEST TEXAS GULF PIPELINE CO,70,0
"SHELL PIPELINE CO., L.P.",128,87
EXXONMOBIL PIPELINE CO,0,0.16
KINDER MORGAN WINK PIPELINE LP,20,6
COLONIAL PIPELINE CO,0.33,0
"BUCKEYE PARTNERS, LP",0.24,0
ENTERPRISE CRUDE PIPELINE LLC,30,2
"PLAINS MARKETING, L.P.",0.5,0
"BUCKEYE PARTNERS, LP",0.6,0
SUNOCO PIPELINE L.P.,0,0.35
CONOCOPHILLIPS,0,0.48
EXXONMOBIL PIPELINE CO,0.45,0
ENTERPRISE CRUDE PIPELINE LLC,0,100
"MAGELLAN PIPELINE COMPANY, LP",1195.24,281.76
"KOCH PIPELINE COMPANY, L.P.",1.1,0.1
CONOCOPHILLIPS,0.83,0
CENEX PIPELINE LLC,0,0.35
EXPLORER PIPELINE CO,14,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",20,0
COLONIAL PIPELINE CO,5.4,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",5,0
"KINDER MORGAN LIQUID TERMINALS, LLC",1,0
PETROLEUM FUEL AND TERMINAL COMPANY,5,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.01,0
WEST TEXAS GULF PIPELINE CO,1.5,0.5
"MAGELLAN PIPELINE COMPANY, LP",0.24,0
"KOCH PIPELINE COMPANY, L.P.",0.19,0.05
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,450,50
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",24,0
CENEX PIPELINE LLC,0.23,0
CENEX PIPELINE LLC,181,2
SUNOCO PIPELINE L.P.,1.5,0.5
HARVEST PIPELINE COMPANY,1250,50
WEST TEXAS GULF PIPELINE CO,0,2
MOTIVA ENTERPRISE LLC,0.16,0
SUNOCO PIPELINE L.P.,0,0.12
CENTURION PIPELINE L.P.,100,28
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",255,1245
CHEVRON PIPE LINE CO,0.17,0
ENTERPRISE CRUDE PIPELINE LLC,0,1.5
SUNOCO PIPELINE L.P.,0,0.5
"PLAINS MARKETING, L.P.",3,0
ENTERPRISE CRUDE PIPELINE LLC,0,1
"MAGELLAN PIPELINE COMPANY, LP",1.9,0
"MAGELLAN PIPELINE COMPANY, LP",0.24,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0,0.2
"MAGELLAN PIPELINE COMPANY, LP",0.12,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0.09,0.03
"KINDER MORGAN LIQUID TERMINALS, LLC",0.4,0.1
DIXIE PIPELINE COMPANY LLC,0,4.3
EXXONMOBIL PIPELINE CO,0.5,0
"KINDER MORGAN LIQUID TERMINALS, LLC",1,0
"PLAINS PIPELINE, L.P.",189,15
ENTERPRISE PRODUCTS OPERATING LLC,1,2
CONOCOPHILLIPS,0.48,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.02,0
EXPLORER PIPELINE CO,11,0
"MAGELLAN PIPELINE COMPANY, LP",1.1,0.09
"MAGELLAN PIPELINE COMPANY, LP",12,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.24,0
ENTERPRISE PRODUCTS OPERATING LLC,10,0
WEST TEXAS GULF PIPELINE CO,0,0.48
MARATHON PIPE LINE LLC,0.4,0
MARATHON PIPE LINE LLC,1.6,0
"PLAINS PIPELINE, L.P.",222,0
ENTERPRISE PRODUCTS OPERATING LLC,0,100
ENTERPRISE CRUDE PIPELINE LLC,60,15
OLYMPIC PIPE LINE COMPANY,1.96,0
OLYMPIC PIPE LINE COMPANY,0.97,0
SUNOCO PIPELINE L.P.,4.5,0
KINDER MORGAN CO2 CO. LP,0,3.88
WEST SHORE PIPELINE CO,0.36,0
COLONIAL PIPELINE CO,2.5,0
"PLAINS PIPELINE, L.P.",3,0
"BUCKEYE PARTNERS, LP",0.1,0
KINDER MORGAN CO2 CO. LP,0,15.15
"CCPS TRANSPORTATION, LLC",20,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0.4,0.08
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",0.6,0
SUNOCO PIPELINE L.P.,0,5
ENTERPRISE CRUDE PIPELINE LLC,600,0
"PLAINS PIPELINE, L.P.",4.5,0
ONEOK NGL PIPELINE LP,0,1.84
COLONIAL PIPELINE CO,0.87,0
EXXONMOBIL PIPELINE CO,5.5,0
EXXONMOBIL PIPELINE CO,0.23,0
"MAGELLAN PIPELINE COMPANY, LP",0.24,0
EXPLORER PIPELINE CO,41.64,0
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",40,76
"PLAINS PIPELINE, L.P.",5,0
"MAGELLAN PIPELINE COMPANY, LP",0.48,0
EXXONMOBIL PIPELINE CO,0.38,0
ENTERPRISE PRODUCTS OPERATING LLC,0,3
"KINDER MORGAN LIQUID TERMINALS, LLC",35.26,0
EXXONMOBIL OIL CORP - WEST COAST,2.7,0
MOTIVA ENTERPRISE LLC,0.16,0
CONOCOPHILLIPS,5,0
"BP PIPELINES (ALASKA), INC",0.28,0
CITGO PETROLEUM CORPORATION (TERMINALS),0.36,0.36
MID - VALLEY PIPELINE CO,0.47,0
ENTERPRISE CRUDE PIPELINE LLC,3,0
"BUCKEYE PARTNERS, LP",0.17,0
ENTERPRISE CRUDE PIPELINE LLC,0.2,0.3
EXXONMOBIL PIPELINE CO,2000,880
"PLAINS PIPELINE, L.P.",15,0
ENTERPRISE PRODUCTS OPERATING LLC,0,3
ONEOK NGL PIPELINE LP,0,3
"PLAINS PIPELINE, L.P.",8,0
"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",0.36,0
EXPLORER PIPELINE CO,0.71,0
"SHELL PIPELINE CO., L.P.",0.6,0
SUNOCO PIPELINE L.P.,0,20
BP USFO/LOGISTICS,0.48,0
SUNOCO PIPELINE L.P.,0.24,0
"MAGELLAN TERMINALS HOLDINGS, LP",0.71,0
BRIDGER PIPELINE LLC,115,35
"KOCH PIPELINE COMPANY, L.P.",2.62,0.58
ENTERPRISE CRUDE PIPELINE LLC,0.1,0
SINCLAIR TRANSPORTATION COMPANY,0,5
EXPLORER PIPELINE CO,7,0
MARATHON PIPE LINE LLC,0.14,0
"BUCKEYE PARTNERS, LP",2.38,0
SUNOCO PIPELINE L.P.,8,2
COLONIAL PIPELINE CO,0.4,0
"KINDER MORGAN LIQUID TERMINALS, LLC",53.18,0
"PLAINS PIPELINE, L.P.",1.5,0
"MAGELLAN AMMONIA PIPELINE, L.P.",0,3.4
CHEVRON PIPE LINE CO,9.29,0
COLONIAL PIPELINE CO,13.21,0.79
ENTERPRISE CRUDE PIPELINE LLC,0,2.5
PHILLIPS 66 PIPELINE LLC,3,2
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",1.19,0
PHILLIPS 66 PIPELINE LLC,2,1
ENTERPRISE CRUDE PIPELINE LLC,220,19
ENERGY TRANSFER COMPANY,0,2880
"OILTANKING, HOUSTON LP",0,0
JAYHAWK PIPELINE LLC,16,10
"BUCKEYE PARTNERS, LP",0,0.02
CALNEV PIPELINE CO,0.42,0
OXY USA INC,0.4,0.2
"PLAINS PIPELINE, L.P.",15,0
"SHELL PIPELINE CO., L.P.",10,0
"MAGELLAN PIPELINE COMPANY, LP",213,91
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
ENTERPRISE CRUDE PIPELINE LLC,0.25,0
MID - VALLEY PIPELINE CO,0.19,0
"PLAINS PIPELINE, L.P.",20,0
ENTERPRISE CRUDE PIPELINE LLC,7,1
ENTERPRISE CRUDE PIPELINE LLC,0.5,0.5
"PLAINS PIPELINE, L.P.",0.48,0
ROSE ROCK MIDSTREAM L.P.,58,2
"BUCKEYE PARTNERS, LP",26.5,73.5
VALERO TERMINALING AND DISTRIBUTION COMPANY,0,250
ENTERPRISE CRUDE PIPELINE LLC,0.2,0.8
SUNOCO PIPELINE L.P.,0,0.12
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,5.69,0
"MAGELLAN PIPELINE COMPANY, LP",0.36,0
BP OIL PIPELINE CO,23.5,0
EXPLORER PIPELINE CO,0.2,0
ROSE ROCK MIDSTREAM L.P.,140,2
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",0,465
EXPLORER PIPELINE CO,2.4,0
CENTURION PIPELINE L.P.,10,201
"SHELL PIPELINE CO., L.P.",13,0
CITGO PRODUCTS PIPELINE CO,0.24,0.24
CENTURION PIPELINE L.P.,0,4
SUNOCO PIPELINE L.P.,0,0.12
SUNOCO PIPELINE L.P.,0,2
SUNOCO PIPELINE L.P.,0.12,0
"BUCKEYE PARTNERS, LP",0.02,8.68
ROSE ROCK MIDSTREAM L.P.,93,6
"SHELL PIPELINE CO., L.P.",0,15.67
WEST SHORE PIPELINE CO,482,820
COLONIAL PIPELINE CO,0.36,0
"SHELL PIPELINE CO., L.P.",50,0
ENTERPRISE PRODUCTS OPERATING LLC,0,6.3
"PLAINS PIPELINE, L.P.",3,0
CHEVRON PIPE LINE CO,0,3117
"KINDER MORGAN LIQUID TERMINALS, LLC",16,0
COLONIAL PIPELINE CO,27.4,0
THE DOW CHEMICAL COMPANY,0,132
ENBRIDGE PIPELINES (OZARK) L.L.C.,1,0
"KOCH PIPELINE COMPANY, L.P.",0.91,0.09
"MAGELLAN PIPELINE COMPANY, LP",0.12,0
MOTIVA ENTERPRISE LLC,0.2,0
COLONIAL PIPELINE CO,0.79,0.04
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",1100,629
COLONIAL PIPELINE CO,0.95,0
ENERGY TRANSFER COMPANY,0,217
ENTERPRISE PRODUCTS OPERATING LLC,0,1
SUNOCO PIPELINE L.P.,0,0.36
"PLAINS MARKETING, L.P.",1,0
"PLAINS MARKETING, L.P.",0,0.24
COLONIAL PIPELINE CO,0.21,0
"SHELL PIPELINE CO., L.P.",0,0.44
"KOCH PIPELINE COMPANY, L.P.",24.2,0
CHEVRON PIPE LINE CO,0.5,0
SUNOCO PIPELINE L.P.,0,3
"PLAINS PIPELINE, L.P.",4,0
COLONIAL PIPELINE CO,1.26,0.12
PHILLIPS 66 PIPELINE LLC,0,0.4
SUNOCO PIPELINE L.P.,4.14,0
"ONEOK NGL PIPELINE, LLC",0,0.5
"DELEK PIPELINE TEXAS, INC",0,5
EXXONMOBIL PIPELINE CO,0,0.25
MARATHON PIPE LINE LLC,25,0
TAMPA BAY PIPELINE CO.,0,0.1
"PLAINS PIPELINE, L.P.",0.36,0
MARATHON PIPE LINE LLC,0.2,0
ENTERPRISE PRODUCTS OPERATING LLC,2,3
"PLAINS PIPELINE, L.P.",20,0
WEST SHORE PIPELINE CO,685,19
PHILLIPS 66 PIPELINE LLC,0.36,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
COLONIAL PIPELINE CO,1.19,0
"PLAINS PIPELINE, L.P.",15,0
"SHELL PIPELINE CO., L.P.",1,0
ENTERPRISE PRODUCTS OPERATING LLC,0,2
"BUCKEYE PARTNERS, LP",2.05,0.33
"PLAINS PIPELINE, L.P.",80,0
"MAGELLAN AMMONIA PIPELINE, L.P.",0,8.78
COLONIAL PIPELINE CO,0.38,0
"PLAINS PIPELINE, L.P.",25,0
CHEVRON PIPE LINE CO,0,0.02
"MAGELLAN AMMONIA PIPELINE, L.P.",0,54.65
"KINDER MORGAN LIQUID TERMINALS, LLC",0.02,0.1
"KINDER MORGAN LIQUID TERMINALS, LLC",0.5,0
NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,0.71,0
ENTERPRISE CRUDE PIPELINE LLC,100,0
"SHELL PIPELINE CO., L.P.",0.95,0
JAYHAWK PIPELINE LLC,0.21,0.17
CHEVRON MIDSTREAM PIPELINES LLC,0,3.75
ENTERPRISE PRODUCTS OPERATING LLC,0,6700
ENTERPRISE CRUDE PIPELINE LLC,40,0
"PLAINS PIPELINE, L.P.",10,0
CITGO PIPELINE CO,68,2
ENTERPRISE CRUDE PIPELINE LLC,0.25,0.75
"PLAINS PIPELINE, L.P.",1,0
"PLAINS MARKETING, L.P.",2.9,0
WEST TEXAS GULF PIPELINE CO,0,0.48
"MAGELLAN PIPELINE COMPANY, LP",0.71,0
PHILLIPS 66 PIPELINE LLC,0,0.24
KINDER MORGAN WINK PIPELINE LP,0,1.09
WEST COAST TERMINAL PIPELINE  (WCTP),19.6,0
"BUCKEYE PARTNERS, LP",0.95,0
MARATHON PIPE LINE LLC,0.1,0
ENTERPRISE CRUDE PIPELINE LLC,0.5,0.5
SUNOCO PIPELINE L.P.,10,3
ENTERPRISE CRUDE PIPELINE LLC,1.5,0
"PLAINS MARKETING, L.P.",3,0
BELLE FOURCHE PIPELINE CO,0,20
SUNOCO PIPELINE L.P.,0,0.24
COLONIAL PIPELINE CO,61.9,23.8
EXXONMOBIL PIPELINE CO,59.7,0
COLONIAL PIPELINE CO,2.6,0.9
ENTERPRISE CRUDE PIPELINE LLC,50,25
PHILLIPS 66 PIPELINE LLC,0,0.48
"ENERGY XXI PIPELINE, LLC",2,0
"MAGELLAN TERMINALS HOLDINGS, LP",0.98,0.02
MUSTANG PIPE LINE PARTNERS,1.5,0
"SFPP, LP",6.71,0
EXXONMOBIL PIPELINE CO,2,0
EXXONMOBIL PIPELINE CO,0,0
CHEVRON PIPE LINE CO,30,0
CHEVRON PIPE LINE CO,0,0.24
"SHELL PIPELINE CO., L.P.",45,0
CITGO PIPELINE CO,663,55
ENBRIDGE PIPELINES (OZARK) L.L.C.,0.83,0
ENTERPRISE CRUDE PIPELINE LLC,450,0
"KINDER MORGAN LIQUID TERMINALS, LLC",0.12,0
PHILLIPS 66 PIPELINE LLC,0,0.24
"MAGELLAN PIPELINE COMPANY, LP",0.12,0
"ONEOK NGL PIPELINE, LLC",10,0
HARVEST PIPELINE COMPANY,10,90
KEY PIPELINE LIMITED,0,200
"PLAINS PIPELINE, L.P.",1.5,0
"BKEP CRUDE, LLC",0,0.6
CALNEV PIPELINE CO,0.67,0
EXXONMOBIL PIPELINE CO,0,0.11
NUSTAR TERMINALS OPERATIONS PARTNERSHIP L. P.,1,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
EXPLORER PIPELINE CO,200,0
CHEVRON PIPE LINE CO,0,20
"MAGELLAN PIPELINE COMPANY, LP",1.43,0.47
PHILLIPS 66 PIPELINE LLC,0,0.48
"KOCH PIPELINE COMPANY, L.P.",1.95,0.05
"PLAINS PIPELINE, L.P.",4,0
SUNOCO PIPELINE L.P.,0,0.5
ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,76,0
CENEX PIPELINE LLC,0.2,0.8
PHILLIPS 66 PIPELINE LLC,0.59,0
"MAGELLAN PIPELINE COMPANY, LP",40,0
"PLAINS PIPELINE, L.P.",1.5,0
ENTERPRISE PRODUCTS OPERATING LLC,0,1.3
"PLAINS PIPELINE, L.P.",7.5,0
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",900,0
"PLAINS PIPELINE, L.P.",35,0
"PLAINS MARKETING, L.P.",10,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,60,0
"MAGELLAN PIPELINE COMPANY, LP",7.9,2.62
SUNCOR ENERGY (USA) PIPELINE CO.,15,5
EXPLORER PIPELINE CO,86,0
"PLAINS PIPELINE, L.P.",600,0
"BUCKEYE PARTNERS, LP",0.24,0
"MAGELLAN PIPELINE COMPANY, LP",0,0.1
"BKEP CRUDE, LLC",0,2
MOTIVA ENTERPRISE LLC,0,23
COLONIAL PIPELINE CO,11,0
ENERGY TRANSFER COMPANY,0,1187.69
COLONIAL PIPELINE CO,2.65,0
ENTERPRISE PRODUCTS OPERATING LLC,0,0.1
HARBOR PIPELINE CO,5.3,0
"SHELL PIPELINE CO., L.P.",0,329
"BUCKEYE PARTNERS, LP",16,32
JAYHAWK PIPELINE LLC,2,5.3
ENTERPRISE CRUDE PIPELINE LLC,5,0
MOBIL CORP,0.3,0
"CCPS TRANSPORTATION, LLC",38.5,0
COLONIAL PIPELINE CO,0.45,0
SUNOCO PIPELINE L.P.,3.1,0
"MAGELLAN AMMONIA PIPELINE, L.P.",0,23.81
"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",100,0
MOBIL  PIPE  LINE COMPANY,4,0.25
"ONEOK NGL PIPELINE, LLC",0,6719
SUNOCO PIPELINE L.P.,0.5,0.5
EXXONMOBIL REFINING AND SUPPLY COMPANY,0.3,0
MARATHON PIPE LINE LLC,0.48,0
ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,0.23,0
SUNOCO PIPELINE L.P.,3,0
ENTERPRISE PRODUCTS OPERATING LLC,0.23,0
"CCPS TRANSPORTATION, LLC",3,0
ENBRIDGE ENERGY MARKETING LLC,3,7
MID - VALLEY PIPELINE CO,5,2
MARATHON PIPE LINE LLC,0.7,0
MOBIL CHEMICAL CO,0,0.2
"HOLLY ENERGY PARTNERS - OPERATING, L.P.",130,20
PLANTATION PIPE LINE CO,1.8,0
MARATHON PIPE LINE LLC,0,0
JAYHAWK PIPELINE LLC,152.8,5.6
PLANTATION PIPE LINE CO,8.33,0
COLONIAL PIPELINE CO,105.9,25.4
"KOCH PIPELINE COMPANY, L.P.",0.48,0
PLANTATION PIPE LINE CO,5.95,0
SUNOCO PIPELINE L.P.,0,2
SUNOCO PIPELINE L.P.,12.5,0
"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC",0.24,0
ENBRIDGE PIPELINES (OZARK) L.L.C.,1,0
SUNOCO PIPELINE L.P.,0,10
"SFPP, LP",0.22,0
COLONIAL PIPELINE CO,0.2,0
"MAGELLAN TERMINALS HOLDINGS, LP",4,0
"MAGELLAN PIPELINE COMPANY, LP",0.24,0
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,3.68,0
ENTERPRISE CRUDE PIPELINE LLC,0,1.5
MOBIL CHEMICAL CO,0,0.2
MARATHON PIPE LINE LLC,2.2,0
ENTERPRISE CRUDE PIPELINE LLC,1,0
PHILLIPS 66 PIPELINE LLC,0.71,0
MID - VALLEY PIPELINE CO,0.21,0.03
"MAGELLAN PIPELINE COMPANY, LP",0.7,0
"ROADRUNNER PIPELINE, L.L.C.",0,0.12
JAYHAWK PIPELINE LLC,350,41.8
"DELEK LOGISTICS OPERATING, LLC.",30,1.2
PHILLIPS 66 PIPELINE LLC,0,97.52
MARATHON PIPE LINE LLC,0.3,0
"GENESIS PIPELINE USA, L.P.",1,0
ROSE ROCK MIDSTREAM L.P.,0,1
WEST TEXAS GULF PIPELINE CO,0,2
KINDER MORGAN PIPELINES (USA) INC,0.3,0
"MAGELLAN PIPELINE COMPANY, LP",0.2,0
ENTERPRISE CRUDE PIPELINE LLC,0,3
MID - VALLEY PIPELINE CO,0.52,0.15
"MAGELLAN PIPELINE COMPANY, LP",2.38,0
SUNOCO PIPELINE L.P.,120,230
