Operator Name,Liquid Recovery (Barrels),Net Loss (Barrels)
"BUCKEYE PARTNERS, LP",1,0
SEMGROUP LP,0,0.12
MARATHON PIPE LINE LLC,10,0
TC OIL PIPELINE OPERATIONS INC,0,0.11
"PLAINS PIPELINE, L.P.",4,0
"MAGELLAN TERMINALS HOLDINGS, LP",4.5,0
ALYESKA PIPELINE SERVICE CO,1461,1119
"ROCKY MOUNTAIN PIPELINE SYSTEM, LLC",0.6,4.1
"PETROLOGISTICS OLEFINS, LLC",0,1.31
CONOCOPHILLIPS,5,5
SUNOCO PIPELINE L.P.,0,0.36
JAYHAWK PIPELINE LLC,0,1
COLONIAL PIPELINE CO,0.83,0
AMOCO OIL CO,1001,1120
HOUSTON REFINING LP.,1.75,0.25
"PLAINS PIPELINE, L.P.",85,0
COLONIAL PIPELINE CO,1.29,0
CHEVRON PIPE LINE CO,500,8
ENTERPRISE PRODUCTS OPERATING LLC,0,1
CONOCOPHILLIPS,0,4618
ONEOK NGL PIPELINE LP,0,11
"KOCH PIPELINE COMPANY, L.P.",0,1.9
CITGO PRODUCTS PIPELINE CO,2,0
ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,1,0
MARATHON PIPE LINE LLC,0.1,0
"SHELL PIPELINE CO., L.P.",0,10.7
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",1,0
CONOCOPHILLIPS,2.99,0.01
COLONIAL PIPELINE CO,1.31,9.52
SUNOCO PIPELINE L.P.,0,3
SUNOCO PIPELINE L.P.,0,0.5
BELLE FOURCHE PIPELINE CO,0.24,0.12
MOBIL CORP,2.11,0
CHEVRON PIPE LINE CO,778,22
CONOCOPHILLIPS,4,2
"TEPPCO CRUDE PIPELINE, LLC",0.12,0.88
SUNCOR ENERGY (USA) PIPELINE CO.,25,5
NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,0,0.19
SUNOCO PIPELINE L.P.,0,0.14
TC OIL PIPELINE OPERATIONS INC,2.38,0
"SHELL PIPELINE CO., L.P.",0,0.24
MARATHON PIPE LINE LLC,4.47,0
WEST TEXAS GULF PIPELINE CO,0,2
EXPLORER PIPELINE CO,3,0
"MAGELLAN PIPELINE COMPANY, LP",148,36.14
"MAGELLAN AMMONIA PIPELINE, L.P.",0,2
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",10,0
MARATHON PIPE LINE LLC,0,0.52
SUNOCO PIPELINE L.P.,0.6,0.4
DIXIE PIPELINE,0,3104
OXY USA INC,9,0
