Accident Year,Accident State,Unintentional Release (Barrels)
2010,KS,0.24
2010,KS,95
2010,KS,2
2010,KS,0.35
2010,KS,0.6
2010,KS,3415
2010,KS,0.48
2010,KS,0.24
2010,KS,4.5
2011,KS,400
2011,KS,0.24
2011,KS,20
2011,KS,15
2011,KS,15
2011,KS,2
2011,KS,95
2011,KS,12
2011,KS,15
2011,KS,8.5
2011,KS,0.36
2011,KS,10
2011,KS,35
2011,KS,27
2011,KS,1
2011,KS,0.17
2011,KS,590
2011,KS,0.48
2011,KS,150
2012,KS,0.71
2012,KS,262
2012,KS,0.48
2012,KS,10
2012,KS,0.48
2012,KS,0.36
2012,KS,26
2012,KS,304
2012,KS,60
2012,KS,5.69
2012,KS,142
2012,KS,99
2012,KS,0.12
2012,KS,0.4
2012,KS,0.1
2012,KS,0.38
2012,KS,0.24
2012,KS,0.1
2012,KS,7.3
2012,KS,100
2012,KS,158.4
2013,KS,0.24
2013,KS,391.8
2013,KS,1
2013,KS,2.38
2013,KS,14.7
2013,KS,20
2013,KS,0.9
2013,KS,0.47
2013,KS,100
2013,KS,5
2013,KS,3.7
2013,KS,0.9
2013,KS,1
2013,KS,2
2013,KS,0.6
2013,KS,17
2013,KS,0.2
2013,KS,0.12
2013,KS,3.7
2013,KS,0.01
2013,KS,142.5
2013,KS,67
2014,KS,110
2014,KS,5
2014,KS,35
2014,KS,0.24
2014,KS,0.24
2014,KS,2.5
2014,KS,0.36
2014,KS,0.24
2014,KS,7.3
2014,KS,2
2014,KS,2
2014,KS,31.42
2014,KS,2.9
2014,KS,0.6
2014,KS,20.7
2014,KS,0.6
2014,KS,2.85
2014,KS,0.2
2014,KS,4
2014,KS,2
2014,KS,16.66
2014,KS,0.83
2014,KS,40
2014,KS,15.6
2014,KS,0.15
2014,KS,0.71
2015,KS,308
2015,KS,3
2015,KS,0.1
2015,KS,5
2015,KS,0.38
2015,KS,0.71
2015,KS,1861
2015,KS,0.16
2015,KS,0.5
2015,KS,1.6
2015,KS,93.85
2015,KS,3
2015,KS,100
2015,KS,40
2016,KS,140
2016,KS,169
2016,KS,1.6
2016,KS,15
2016,KS,238
2016,KS,65.3
2016,KS,4
2016,KS,4
2016,KS,37.5
2016,KS,470.8
2016,KS,2.28
2016,KS,25
2016,KS,6
2016,KS,1.2
2016,KS,0.71
2016,KS,1722
2016,KS,72
2010,LA,2
2010,LA,2237
2010,LA,3.49
2010,LA,6.76
2010,LA,202
2010,LA,5
2010,LA,0.64
2010,LA,7.88
2010,LA,0.31
2010,LA,1.35
2010,LA,0.24
2010,LA,0.47
2010,LA,0.6
2010,LA,400
2010,LA,13
2010,LA,125
2010,LA,1.31
2010,LA,10.7
2010,LA,3
2010,LA,0.19
2010,LA,0.24
2010,LA,0.6
2010,LA,382
2010,LA,161
2010,LA,1
2010,LA,1030
2010,LA,0.29
2011,LA,1.74
2011,LA,79
2011,LA,8.36
2011,LA,0.24
2011,LA,5.23
2011,LA,0.89
2011,LA,1
2011,LA,2
2011,LA,0.28
2011,LA,18.7
2011,LA,3.43
2011,LA,0.23
2011,LA,0.95
2011,LA,85
2011,LA,3.06
2012,LA,0.5
2012,LA,0.5
2012,LA,0.45
2012,LA,0.83
2012,LA,0.17
2012,LA,4.3
2012,LA,204
2012,LA,5.5
2012,LA,0.23
2012,LA,2880
2012,LA,0.6
2012,LA,10
2012,LA,15.67
2012,LA,0.36
2012,LA,50
2012,LA,1
2012,LA,0.02
2012,LA,0.95
2012,LA,3.75
2012,LA,59.7
2012,LA,2
2012,LA,2
2012,LA,0
2012,LA,1.5
2012,LA,0.59
2012,LA,2.65
2012,LA,329
2012,LA,0.3
2012,LA,8.33
2013,LA,3.68
2013,LA,0.87
2013,LA,0
2013,LA,1
2013,LA,23702
2013,LA,10
2013,LA,3.42
2013,LA,9
2013,LA,2.9
2013,LA,1
2013,LA,7.6
2013,LA,125
2013,LA,2
2013,LA,0.01
2013,LA,0
2013,LA,5
2013,LA,3
2014,LA,1
2014,LA,5
2014,LA,0.79
2014,LA,0.12
2014,LA,1.1
2014,LA,0.13
2014,LA,0.3
2014,LA,2
2014,LA,0.79
2014,LA,0.9
2014,LA,4.7
2014,LA,400
2014,LA,0.9
2014,LA,20
2014,LA,2
2014,LA,84
2014,LA,0.48
2014,LA,0.3
2014,LA,0.3
2014,LA,0.02
2014,LA,0.2
2014,LA,0.1
2014,LA,2.12
2014,LA,10
2014,LA,0.02
2014,LA,0.45
2014,LA,6
2014,LA,4509
2014,LA,2.4
2014,LA,0.36
2014,LA,0
2015,LA,0.05
2015,LA,0.7
2015,LA,0.07
2015,LA,0.4
2015,LA,2.86
2015,LA,0.7
2015,LA,0.2
2015,LA,0.71
2015,LA,0.36
2015,LA,2535
